Iteration, Discriminator Loss, Generator Loss, Accuracy
4310, 1.433304, 0.606018, 0.484375
4320, 1.358960, 0.687760, 0.500000
4330, 1.386168, 0.729258, 0.500000
4340, 1.383826, 0.658471, 0.500000
4350, 1.371480, 0.804446, 0.500000
4360, 1.381947, 0.809796, 0.500000
4370, 1.382790, 0.674809, 0.500000
4380, 1.363652, 0.666018, 0.511719
4390, 1.381017, 0.669684, 0.500000
4400, 1.377241, 0.653931, 0.500000
4410, 1.339573, 0.628808, 0.482422
4420, 1.381153, 0.677533, 0.500000
4430, 1.348298, 0.634966, 0.474609
4440, 1.346138, 0.704536, 0.494141
4450, 1.374572, 0.724541, 0.500000
4460, 1.298846, 0.620823, 0.462891
4470, 1.357328, 0.621351, 0.496094
4480, 1.338313, 0.655709, 0.515625
4490, 1.376855, 0.650440, 0.501953
4500, 1.311264, 0.662355, 0.478516
4510, 1.357725, 0.626234, 0.490234
4520, 1.345035, 0.572533, 0.500000
4530, 1.378438, 0.648551, 0.500000
4540, 1.344110, 0.710319, 0.521484
4550, 1.341579, 0.654093, 0.484375
4560, 1.354640, 0.671185, 0.505859
4570, 1.352419, 0.669652, 0.486328
4580, 1.337550, 0.653905, 0.519531
4590, 1.295033, 0.601632, 0.507812
4600, 1.364313, 0.573742, 0.406250
4610, 1.372117, 0.609926, 0.494141
4620, 1.313714, 0.613542, 0.462891
4630, 1.381853, 0.739017, 0.500000
4640, 1.379498, 0.683786, 0.500000
4650, 1.378507, 0.766137, 0.500000
4660, 1.357584, 0.650013, 0.500000
4670, 1.350908, 0.640118, 0.500000
4680, 1.341453, 0.665612, 0.490234
4690, 1.353101, 0.669554, 0.498047
4700, 1.327298, 0.556833, 0.474609
4710, 1.366107, 0.656130, 0.496094
4720, 1.345922, 0.666124, 0.500000
4730, 1.385896, 0.630466, 0.492188
4740, 1.336919, 0.634462, 0.480469
4750, 1.346106, 0.607236, 0.492188
4760, 1.318805, 0.568790, 0.484375
4770, 1.305151, 0.538275, 0.468750
4780, 1.390030, 0.659625, 0.500000
4790, 1.347033, 0.658186, 0.484375
4800, 1.353949, 0.664502, 0.496094
4810, 1.315505, 0.653620, 0.531250
4820, 1.354456, 0.529042, 0.462891
4830, 1.320072, 0.727220, 0.478516
4840, 1.340433, 0.617254, 0.480469
4850, 1.334443, 0.563358, 0.486328
4860, 1.369219, 0.655355, 0.503906
4870, 1.335734, 0.647869, 0.478516
4880, 1.343831, 0.595418, 0.466797
4890, 1.319578, 0.684600, 0.500000
4900, 1.344453, 0.611012, 0.488281
4910, 1.379334, 0.657075, 0.500000
4920, 1.350981, 0.607795, 0.468750
4930, 1.350209, 0.623168, 0.470703
4940, 1.334694, 0.621032, 0.474609
4950, 1.356218, 0.677245, 0.500000
4960, 1.316820, 0.655570, 0.447266
4970, 1.370714, 0.546665, 0.484375
4980, 1.393427, 0.631450, 0.476562
4990, 1.350503, 0.614712, 0.500000
5000, 1.372025, 0.695168, 0.500000
5010, 1.383934, 0.658926, 0.500000
5020, 1.328807, 0.620924, 0.496094
5030, 1.385077, 0.645059, 0.478516
5040, 1.361701, 0.638725, 0.482422
5050, 1.336692, 0.676034, 0.500000
5060, 1.356596, 0.658967, 0.500000
5070, 1.339251, 0.585892, 0.492188
5080, 1.385207, 0.706397, 0.494141
5090, 1.354790, 0.697621, 0.500000
5100, 1.355700, 0.603867, 0.482422
5110, 1.344169, 0.659359, 0.500000
5120, 1.348276, 0.546029, 0.460938
5130, 1.324380, 0.665910, 0.472656
5140, 1.365006, 0.753503, 0.500000
5150, 1.320068, 0.702543, 0.478516
5160, 1.327460, 0.668538, 0.500000
5170, 1.324389, 0.623979, 0.466797
5180, 1.382631, 0.691007, 0.500000
5190, 1.330090, 0.598463, 0.511719
5200, 1.359498, 0.598902, 0.453125
5210, 1.334874, 0.609982, 0.472656
5220, 1.401228, 0.581256, 0.457031
5230, 1.303095, 0.627391, 0.445312
5240, 1.353359, 0.631732, 0.507812
5250, 1.322099, 0.603546, 0.429688
5260, 1.348678, 0.574630, 0.509766
5270, 1.321321, 0.679066, 0.500000
5280, 1.371212, 0.638733, 0.500000
5290, 1.347234, 0.609568, 0.492188
5300, 1.362361, 0.603817, 0.478516
5310, 1.347367, 0.701904, 0.500000
5320, 1.382969, 0.791974, 0.500000
5330, 1.364707, 0.698359, 0.500000
5340, 1.379829, 0.618420, 0.500000
5350, 1.378310, 0.624435, 0.515625
5360, 1.339904, 0.564438, 0.457031
5370, 1.327308, 0.719557, 0.500000
5380, 1.341607, 0.628841, 0.500000
5390, 1.312996, 0.560431, 0.490234
5400, 1.340197, 0.614000, 0.421875
5410, 1.304420, 0.520834, 0.476562
5420, 1.405577, 0.565266, 0.449219
5430, 1.341707, 0.659815, 0.500000
5440, 1.369901, 0.588999, 0.466797
5450, 1.350239, 0.589280, 0.457031
5460, 1.346031, 0.566969, 0.457031
5470, 1.333537, 0.602539, 0.453125
5480, 1.365987, 0.625297, 0.482422
5490, 1.336132, 0.563665, 0.455078
5500, 1.388209, 0.676023, 0.500000
5510, 1.347225, 0.544229, 0.486328
5520, 1.369727, 0.533524, 0.523438
5530, 1.340880, 0.594467, 0.464844
5540, 1.347197, 0.751629, 0.500000
5550, 1.358407, 0.549719, 0.494141
5560, 1.358784, 0.536106, 0.476562
5570, 1.366339, 0.794875, 0.500000
5580, 1.355433, 0.571547, 0.521484
5590, 1.335731, 0.591425, 0.496094
5600, 1.360603, 0.665713, 0.500000
5610, 1.377691, 0.721581, 0.500000
5620, 1.338315, 0.563057, 0.449219
5630, 1.380843, 0.745561, 0.500000
5640, 1.357298, 0.664306, 0.500000
5650, 1.352666, 0.707633, 0.486328
5660, 1.341927, 0.616735, 0.480469
5670, 1.309337, 0.609305, 0.458984
5680, 1.334999, 0.580169, 0.470703
5690, 1.384344, 0.553311, 0.443359
5700, 1.297986, 0.700435, 0.500000
5710, 1.368436, 0.548009, 0.406250
5720, 1.393089, 0.681973, 0.501953
5730, 1.299725, 0.572379, 0.464844
5740, 1.357253, 0.533879, 0.474609
5750, 1.377236, 0.634040, 0.500000
5760, 1.320553, 0.718502, 0.500000
5770, 1.337091, 0.552353, 0.462891
5780, 1.354775, 0.927021, 0.500000
5790, 1.306834, 0.559094, 0.447266
5800, 1.365129, 0.466318, 0.498047
5810, 1.378872, 0.596967, 0.466797
5820, 1.330717, 0.685988, 0.496094
5830, 1.337043, 0.589421, 0.492188
5840, 1.332758, 0.634786, 0.464844
5850, 1.358158, 0.613217, 0.500000
5860, 1.340586, 0.695950, 0.500000
5870, 1.317177, 0.576048, 0.441406
5880, 1.361001, 0.474985, 0.419922
5890, 1.291013, 0.594454, 0.492188
5900, 1.357979, 0.592410, 0.457031
5910, 1.367663, 0.530667, 0.416016
5920, 1.347103, 0.742193, 0.500000
5930, 1.356207, 0.618184, 0.480469
5940, 1.363155, 0.673810, 0.500000
